#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2023-01-18 10:44:25
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2023-01-18 12:35:58 94.73.170.75 GET /.well-known/alfacgiapi - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 361 45
2023-01-18 12:35:58 94.73.170.75 GET /.well-known/cgialfa - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 358 48
2023-01-18 12:35:58 94.73.170.75 GET /wp-content/uploads/ALFA_DATA - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 367 48
2023-01-18 12:35:58 94.73.170.75 GET /wp-content/uploads/alfacgiapi - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 368 46
2023-01-18 12:35:58 94.73.170.75 GET /wp-content/uploads/cgialfa - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 365 47
2023-01-18 12:35:58 94.73.170.75 GET /wp-includes/ALFA_DATA - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 360 43
2023-01-18 12:35:58 94.73.170.75 GET /wp-includes/alfacgiapi - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 361 47
2023-01-18 12:35:58 94.73.170.75 GET /wp-includes/cgialfa - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 358 43
2023-01-18 12:35:59 94.73.170.75 GET /wp-admin/ALFA_DATA - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 357 47
2023-01-18 12:35:59 94.73.170.75 GET /wp-admin/alfacgiapi - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 358 43
2023-01-18 12:35:59 94.73.170.75 GET /wp-admin/cgialfa - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 355 47
2023-01-18 12:35:59 94.73.170.75 GET /wp-content/ALFA_DATA - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 359 48
2023-01-18 12:35:59 94.73.170.75 GET /wp-content/alfacgiapi - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 360 47
2023-01-18 12:35:59 94.73.170.75 GET /wp-content/cgialfa - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 357 47
2023-01-18 12:35:59 94.73.170.75 GET /templates/beez3/ALFA_DATA - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 364 44
2023-01-18 12:35:59 94.73.170.75 GET /templates/beez3/alfacgiapi - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 365 44
2023-01-18 12:35:59 94.73.170.75 GET /templates/beez3/cgialfa - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 362 47
2023-01-18 12:35:59 94.73.170.75 GET /sites/default/files/ALFA_DATA - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 368 49
2023-01-18 12:35:59 94.73.170.75 GET /sites/default/files/alfacgiapi - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 369 52
2023-01-18 12:36:00 94.73.170.75 GET /sites/default/files/cgialfa - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 366 44
2023-01-18 12:36:00 94.73.170.75 GET /admin/controller/extension/extension/ALFA_DATA - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 385 45
2023-01-18 12:36:00 94.73.170.75 GET /admin/controller/extension/extension/alfacgiapi - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 386 45
2023-01-18 12:36:00 94.73.170.75 GET /admin/controller/extension/extension/cgialfa - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 383 48
2023-01-18 12:36:44 94.73.170.75 GET /wp-content/plugins/ubh/up.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 368 50
2023-01-18 12:36:44 94.73.170.75 GET /index.php 3x=3x 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 354 49
2023-01-18 12:36:44 94.73.170.75 GET /olux.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 347 49
2023-01-18 12:36:44 94.73.170.75 GET /xleet.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 348 49
2023-01-18 12:36:44 94.73.170.75 GET /wso.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 346 49
2023-01-18 12:36:44 94.73.170.75 GET /shell.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 348 50
2023-01-18 12:36:44 94.73.170.75 GET /up.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 345 49
2023-01-18 12:36:44 94.73.170.75 GET /upload.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 349 49
2023-01-18 12:36:44 94.73.170.75 GET /1.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 344 53
2023-01-18 12:36:44 94.73.170.75 GET /x.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 344 49
2023-01-18 12:36:44 94.73.170.75 GET /z.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 344 49
2023-01-18 12:36:44 94.73.170.75 GET /a.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 344 49
2023-01-18 12:36:44 94.73.170.75 GET /test.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 347 49
2023-01-18 12:36:44 94.73.170.75 GET /wp.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 345 50
2023-01-18 12:36:44 94.73.170.75 GET /alfa.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 347 49
2023-01-18 12:36:44 94.73.170.75 GET /config.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 349 49
2023-01-18 12:36:44 94.73.170.75 GET /templates/beez3/index.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 364 50
2023-01-18 12:36:44 94.73.170.75 GET /about.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 348 49
2023-01-18 12:36:45 94.73.170.75 GET /shells.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 349 192
#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2023-01-18 19:05:07
